Event Tweets,Label
[CLS] why have there been more mass shootings under obama than the 4 previous presidents combined [SEP] pick one bushs fault nra white privilege cops hurt feelings fox news intolerance christianity the gop [SEP] because we are precieved as weak with the pantywaist libs in office [SEP] and clintons and half of ws were under the assault weapons ban yet theirs were higher than reagans [SEP] because he was born on a tuesday [SEP] bcuz obama is a muslim  media u can stop hiding his dirty underwear do ur job elect samm tittle [SEP]   its because obama leads by example he is completely lawless so his peeps know that they can act lawlessly without risk [SEP] possibly because obama is a race baiting fool who encourages shit like this blameshannon [SEP] he preaches division and racial hatred people are seeing color again sick of him [SEP] wow [SEP] more than all previous presidents combined  obviously that is what surrendering to terrorism leads to [SEP] you rock tabitha [SEP] also record gun saleswhich i like [SEP] obama is turning usa into 3rd world country on purpose so weknow how it feels [SEP] you forgot the koch bros eh maybe you ran out of 140 [SEP] does it include gangs shootings at each others  [SEP] its all the racial healing [SEP] because they know the injustice dept will seldom if ever seek the death penalty o has released how many terorists from gitmo [SEP] when they changed the definition and terrorist acts went up under bush it was bushs faultnow not obamas fault [SEP] he did promise change [SEP] graph those numbers and youll have a real hockey stick [SEP] epidemic of prescription antidepressants and less to do with politics interesting stat though [SEP] because he is enabling  terrorist [SEP] more pissed off crazies because of him [SEP] that certainly is fundamentally transforming america just like potus wants [SEP] in a risk of wearing a tin foil hat to bed it does make one wonder rise in social media  [SEP] blood transfusing america more like it [SEP] global warming [SEP] im sure its not by design or some mk ultra type thing just a coincidence  question is how many more will there be [SEP] his divisiveness and failures are driving us madall according to plan bloods on his hands [SEP] ,rumour
[CLS] what are the symptoms of covid19  the most common symptoms of covid19 are fever tiredness dry cough and body temperature some patients may have aches and pains nasal congestion runny nose sore throat or diarrhea [SEP] some people become infected but did not develop any symptoms and dont feel ill at the same time  older people and those with underlying medical problems like high blood pressure heart problems or diabetes are more likely to develop serious illness [SEP] iamnaija fight2finish yakinkawardacovid_19 jcinigeria covid19pandemic besafe follow us on all social media for daily updates [SEP] shin menene alamomin kamuwa da cutar  mafi yawancin alamomin kamuwa da wannan cuta ta covid19 sune zazzabi kasala da busasshen tari wasu marasa lafiyar kan samu radadi a jikin su mura zubar da majina kaikayin makogaro da gudawa [SEP] wasu mutanen kan kamu da cutar amma ba wani alama jin wani ciwon jiki tsofaffi da kuma wadanda suke da matsala ta lafiya kamar hawan jini ciwon zuciya ko sukari sun fi hadarin samun wannan cuta ninenajeria yakinkawardacovid_19 jcinigeria annobarcovid_19 [SEP] who can be screened and where  basically anyone with travel history to places  where the viral disease covid19  has being reported  if you have also had contact with someone with travel history to any of such places in recent time [SEP] and if you notice the symptoms of the covid19 do not panic importantly do not go to the hospital immediately just make a call through directly to centre for disease control ncdc on their toll free number  free  number 080097000010 whatsapp 2347087110839 [SEP] iamnaija fight2finish yakinkawardacovid_19 jcinigeria covid19pandemic besafe follow us on all social media for daily updates [SEP] ,nonrumour
[CLS] how does covid19 spread people can catch covid19 from others who have the virus the disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with covid19 coughs or exhales these droplets land on objects [SEP] and have been implicated in gastroenteritis in infants a novel coronavirus was identified as the cause of a worldwide outbreak of a severe acute respiratory syndrome sars in 2003 this outbreak caused by the virus is believed to have originated in guangdong south china [SEP] it predominantly affected mainly china hong kong singapore and taiwan subsequently this outbreak spread to neighboring countries in asia canada and the united states in humans several coronaviruses are known to cause respiratory infections ranging [SEP] from the common cold to more severe diseases such as middle east respiratory syndrome mers and severe acute respiratory syndrome sars the most recently discovered coronavirus causes coronavirus disease covid19 [SEP] what is covid19 covid19 is the infectious disease caused by the most recently discovered coronavirus this new virus and disease were unknown before the outbreak began in wuhan china in december 2019 [SEP] what are the symptoms of covid19 the most common symptoms of covid19 are fever tiredness and dry cough some patients may have aches and pains nasal congestion runny nose sore throat or diarrhea these symptoms are usually mild and begin gradually [SEP] some people become infected but dont develop any symptoms and dont feel unwell most people about 80 recover from the disease without needing special treatment around 1 out of every 6 people who gets covid19 becomes seriously ill and develops difficulty breathing [SEP] surfaces around the person other people then catch covid19 by touching these objects or surfaces then touching their eyes nose or mouth [SEP] people can also catch covid19 if they breathe in droplets from a person with covid19 who coughs out or exhales droplets this is why it is important to stay more than 1 meter 3 feet away from a person who is sick [SEP] world health organisation is assessing ongoing research on the ways covid19 is spread [SEP] ,nonrumour
[CLS] this cartoon is the perfect tribute to nathan cirillo ottawashooting [SEP]   this cartoon is the perfect tribute to nathan cirillo ottawashooting [SEP]  is perfect tribute tonathancirillo ottawashooting     ontario rt [SEP] ,nonrumour
[CLS] 5g mobile networks do not spread covid19  who [SEP] we know 5g cant birth viruses but its detrimental to human health in a nutshellthe radiation from 5g kills [SEP] if theres a conspiracy and if covid 19 is a business who will be part of it [SEP] ,nonrumour
[CLS] 12  what can i do to protect myself and prevent the spread of disease protection measures for everyone stay aware of the latest information on the covid19 outbreak available on the who website and through your national and local public health authority [SEP] 2 this new virus and disease were unknown before the outbreak began in wuhan china in december 2019 [SEP] 3 the most common symptoms of covid19 are fever tiredness and dry cough some patients may have aches and pains nasal congestion runny nose sore throat or diarrhea these symptoms are usually mild and begin gradually [SEP] 4 some people become infected but dont develop any symptoms and dont feel unwell most people about 80 recover from the disease without needing special treatment around 1 out of every 6 people who gets covid19 becomes seriously ill and develops difficulty breathing [SEP] 8 people can also catch covid19 if they breathe in droplets from a person with covid19 who coughs out or exhales droplets this is why it is important to stay more than 1 meter 3 feet away from a person who is sick [SEP] 9 can the virus that causes covid19 be transmitted through the air studies to date suggest that the virus that causes covid19 is mainly transmitted through contact with respiratory droplets rather than through the air  see previous answer on how does covid19 spread [SEP] 10 can covid19 be caught from a person who has no symptoms the main way the disease spreads is through respiratory droplets expelled by someone who is coughing the risk of catching covid19 from someone with no symptoms at all is very low [SEP] 11 however many people with covid19 experience only mild symptoms this is particularly true at the early stages of the disease it is therefore possible to catch covid19 from someone who has for example just a mild cough and does not feel ill [SEP] 13 many countries around the world have seen cases of covid19 and several have seen outbreaks authorities in china and some other countries have succeeded in slowing or stopping their outbreaks [SEP] 13a however the situation is unpredictable so check regularly for the latest news you can reduce your chances of being infected or spreading covid19 by taking some simple precautions [SEP] 13b regularly and thoroughly clean your hands with an alcoholbased hand rub or wash them with soap and water why washing your hands with soap and water or using alcoholbased hand rub kills viruses that may be on your hands [SEP] 13 c maintain at least 1 metre 3 feet distance between yourself and anyone who is coughing or sneezing why when someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus [SEP] 13 c  if you are too close you can breathe in the droplets including the covid19 virus if the person coughing has the disease [SEP] ,nonrumour
[CLS] soldier shot at national war memorial in ottawa  cdnpoli hw [SEP] time to get snipers out on the roofs take him out no talking [SEP] rt  soldier shot at national war memorial in ottawa  cdnpoli hw [SEP] our thoughts to all those in ottawa  soldier shot at national war memorial in ottawa  cdnpoli hw [SEP] gunfire inside canadian parliament soldier shot at national war memorial in ottawa  cdnpoli [SEP] ,nonrumour
[CLS] nonessential services shutdown can someone explain to me how  is essential while  is not [SEP] not to mention why it was essential for the military academies to play their football games [SEP] waronchildren [SEP] oil trumps life [SEP] it probably depends on how the website maint contracts were setup and where theyre feds or contractors running them  [SEP] seems priorities are really fucked up in dc [SEP] neither has been updated since the shutdown one just has a splash page letting us know shutdown shouldnt happen though [SEP] my website costs more or takes more time to shut down rather than just let it stay up [SEP] a missing child alert system sounds pretty fucking essential to me [SEP] well of course this is part of the smoke and mirrors what can we shut down that will piss off the most people [SEP] they do have bandwidth amp electricity costs plus many gov sites run on aws cloud at hourly rates [SEP] i suppose we should simply let you decide whats essential and whats not fuck you dude [SEP] it comes from the spitehouse [SEP]  this [SEP] my bud  agrees [SEP] mt nonessential shutdown can someone explain to me how  is essential while  isnt [SEP] yeah pull the heart strings wipe tears and ask for votes  throw all the bums out  pissed off and mad about it [SEP] i have the same question about camp david staying open [SEP] because websites dont just run on their own  someone has to be back behind the curtain or it just shuts off right [SEP] probably fuel economy site has a different funding source car companies perhaps [SEP] one has to do with money the other just has to human life we all know what rules politics nowadays [SEP] or why michelle obamas lets move food nanny website is still up [SEP] excellent question [SEP] only 17 of the usg is actually shut down but michelle obamas lets move site is up and running almost other no fed site up [SEP] it all comes down to when funding was awarded if the contract to run a site is already paid it will keep running [SEP] confused fueleconomy clearly states may not be updated in green text for same reason though 2nd url went a little more extreme [SEP] ,rumour
[CLS] he is an ex race car driver just because majority doesnt have a clue who he is doesnt mean nobody does [SEP] and who is he [SEP] who cares about paulwalker more than about any victim of driver whos been speeding [SEP] or because he drove too fast and killed both of them [SEP] ,nonrumour
[CLS] the coronavirus outbreak answers to your most common questions updated march 2 2020 what is a coronavirus it is a novel virus named for the crownlike spikes that protrude from its surface the coronavirus can infect both animals and people and can [SEP] and people and can cause a range of respiratory illnesses from the common cold to lung lesions and pneumonia how contagious is the virus it seems to spread very easily from person to person especially in homes hospitals and other confined spaces [SEP] the pathogen can travel through the air enveloped in tiny respiratory droplets that are produced when a sick person breathes talks coughs or sneezeswhere has the virus spread the virus which originated in wuhan china has sickened more than 89700 in [SEP] at least 67 countries and more than 3000 have died the spread has slowed in china but is picking up speed in europe and the united states what symptoms should i look out for symptoms which can take between two to 14 days to appear include fever cough [SEP] and difficulty breathing or shortness of breath milder cases may resemble the flu or a bad cold but people may be able to pass on the virus even before they develop symptoms how do i keep myself and others safe washing your hands frequently is the most [SEP] the most important thing you can do along with staying at home when youre sick and avoiding touching your face how can i prepare for a possible outbreak keep a 30day supply of essential medicines get a flu shot have essential household items on hand [SEP] have a support system in place for elderly family members what if im traveling the cdc has advised against all nonessential travel to south korea china italy and iran and the agency has warned older and atrisk travelers to avoid japan [SEP] how long will it take to develop a treatment or vaccine several drugs are being tested and some initial findings are expected soon a vaccine to stop the spread is still at least a year away [SEP] ,nonrumour
invalid,nonrumour
[CLS] fast and furious cast mourns paul walkers death [SEP] rip  fast and furious cast mourns paul walkers death [SEP] i m so sad about that [SEP] r_i_p iw miss him [SEP]   rip [SEP] so sad rt  fast and furious cast mourns paul walkers death [SEP] its devastating gudnite bro [SEP]  fast and furious cast mourns paul walkers death  rippaulwalker paulwalker [SEP] la convo avec tyrese aka roman pearce ouf  rt fast and furious cast mourns paul walkers death [SEP] the moment i heard my thought was here happy 1 moment gone the next momentgodspeedpaul [SEP] great actor in peace [SEP] ,nonrumour
[CLS] iphone 6 owners claim its bending in their pockets [SEP]  iphone 6 owners claim its bending in their pockets  oh really  [SEP]  iphone 6 owners claim its bending in their pockets  this is crazy  [SEP] uh oh bendgate  iphone 6 owners claim its bending in their pockets [SEP] is it made from caramel [SEP]  iphone 6 owners claim its bending in their pockets  cargo pants comeback [SEP] i know just the one [SEP] junk just high priced junkfor self important people [SEP]  iphone 6 owners claim its bending in their pockets  its not just your iphone 5   crapple [SEP] tight ass pants rt  iphone 6 owners claim its bending in their pockets [SEP]  iphone 6 owners claim its bending in their pockets [SEP] and i wanted to buy one tomorrow ah never mind  iphone 6 owners claim its bending in their pockets [SEP] bendable gbese  iphone 6 owners claim its bending in their pockets [SEP] i would suggest looser pants   iphone 6 owners claim its bending in their pockets [SEP]  iphone 6 owners claim its bending in their pockets [SEP] cant be  i heard apple is perfect  just ask their passionate followers [SEP] tadadadaaan lol ruhroh  iphone 6 owners claim its bending in their pockets [SEP] the iphone is saying get bent [SEP] oh dear apple  iphone 6 owners claim its bending in their pockets [SEP] actually dying however brad pitt was seen wearing cargo pants last week so maybe theres hope ya know [SEP] cause sitting on your phone is the smart thing to do rt  iphone 6 owners claim its bending in their pockets [SEP]  iphone 6 owners claim its bending in their pockets [SEP] buy bigger pants  [SEP]  iphone 6 owners claim its bending in their pockets  might just replace my 5 batterycall it a day [SEP] all types of wrongs in this article [SEP] oh snap rt  iphone 6 owners claim its bending in their pockets [SEP]  iphone 6 owners claim its bending in their pockets [SEP]  iphone6 owners claim its bending in their pockets  apple [SEP] wow it bends too  iphone 6 owners claim its bending in their pockets [SEP] real life  no claim [SEP]  iphone 6 owners claim its bending in their pockets [SEP]  iphone 6 owners claim its bending in their pockets [SEP] is your iphone 6 plus bending in your pocket or are you just happy to see me  everyone [SEP] iphone6 beat  with the worlds first flexible phone [SEP]  iphone 6 owners claim its bending in their pockets  hilarious  no fix for that one i bet [SEP] oh shit a flexible screen ahead of the curve lol [SEP] usually objects of that size in your pants are bound to have a little bend to em justsayin [SEP]   iphone 6 owners claim its bending in their pockets  might just replace my 5 battery  they pants just tight af [SEP]  iphone 6 owners claim its bending in their pockets  lets focus on the battery and wifi problems first [SEP]  iphone 6 owners claim its bending in their pockets  shit  [SEP] its not bending its just flexing [SEP]  iphone 6 owners claim its bending in their pockets  ετσι amp υποψιαστω οτι ειναι αληθεια  θα πεθανω [SEP]  iphone 6 owners claim its bending in their pockets [SEP] thats brilliant it fits my bums [SEP]  iphone 6 owners claim its bending in their pockets [SEP]  iphone 6 owners claim its bending in their pockets   cuidado miniiii [SEP] ,rumour
[CLS] plagiarism is the new virus what is covid19 [SEP] covid got competition now  [SEP] at least turnitin is a cure for this virus [SEP] ,nonrumour
[CLS] misconceptions  1 covid19 is just like the fluanother strain of the flu  2 covid19 is not as infectious nor as deadly as the seasonal flu  3 younger individuals should not be worried about the virus [SEP] of greater concern to younger individuals and in fact everyone should be the expected reemergence of covid19 in this coming fall 4 the reemergence of infectious diseases in the fall typically is accompanied by mutations to the infectious agent enabling it to infect [SEP] all individuals young and old and typically more virulent as well5 which brings me to point 4   4 the actions mandated by public health officials schools and businesses worldwide are by no accounts an overreaction [SEP] the prevention of the spread of disease not only helps our health professionals hospitals and public health organizations treat individuals but also decreases risk of mutations in covid19 which would be responsible for a reemergence of covid19 in the fall able to severely [SEP] affect all individuals as the more covid19 is able to replicate in a host the more likely a beneficial mutation from perspective of the virus is to arise 6 the stopping of the spread of covid19 now is crucial to preventing the spread later and for protecting the elderly [SEP] immunocompromised and those with preexisting conditions it should also be noted that not extending the course of the covid19 virus in the population disproportionately affects those of lower socioeconomic statuses and those who are more likely to return to their workplace as [SEP] a result of financial need leading to increased spread 78 i would never make a claim to be an expert on this topic and i applaud and look up to those who have spent their lives conducting research on infectious diseases [SEP] i am however passionate about this particular area of science and passionate about education and educating the general public about infectious diseases i highly encourage everyone of you to do your research educate yourself on how you can best help yourself your family [SEP] and your community the efforts to stop the spread of this disease begin on the individual level and are part of a global effort the actions of individuals today will have resounding impacts in months and years to come [SEP] i urge you to be safe and think of others in addition to yourself  references 1 2 3  4  5 [SEP] 6  7 8 [SEP] ,rumour
[CLS] what are the symptoms of covid19 is covid19 airborne here are the answers to your biggest questions about the coronavirus pandemic [SEP] i think coronavirus is airborne [SEP] doesnt load properly please fix [SEP] initially its exhaled water droplets which can be inhaled or by transferance from surfacesthe virus can survive on anything except copper and live up to three days [SEP] 1st pic looks like a wojack [SEP] coronavirus206k deaths as of today for comparison  [SEP] thats flu deaths without lockdowns without lockdown covid deaths would be at least a million by now and thats only few months [SEP] check out my gig on fiverr do amazon product listing image and photo editing [SEP] ,nonrumour
[CLS] as we reopen ohio people will have to be very very careful until we get a vaccine youll have to weigh benefit vs risk you will have to make sure youre wearing a mask when you go out continue social distancing etc covid19 is not going away until we get a vaccine [SEP] all yall responding that its your choice hes not talking about just you of course you can make the decision to take the risk but if you get sick its not just your problem if the hospitals get overwhelmed thats his problem [SEP] if you end up hospitalized and the nurse who takes care of you catches it and cant work to help save others or worse yet becomes gravely ill or dies because of you is that still not your problem why cant we as humans care about others more than ourselves [SEP] youre right numbers dont lie i guess im just confused where you are getting your numbers [SEP] ,nonrumour
[CLS] 15 drinking alcohol does not protect you against covid19 and can be dangerous [SEP] 14 covid19 virus can be transmitted in areas with hot and humid climates [SEP] 16 being able to hold your breath for 10 seconds or more without coughing or feeling discomfort does not mean you are free from the coronavirus disease covid19 or any other lung disease [SEP] 17 you can recover from the coronavirus disease covid19 catching the new coronavirus does not mean you will have it for life [SEP] 18 exposing yourself to the sun or to temperatures higher than 25c degrees does not prevent the coronavirus disease covid19 [SEP] 19 5g mobile networks do not spread covid19 [SEP] ,nonrumour
